b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
90.41765714285715,82.80497142857142,115.55,112.72054285714287,95.08874285714285,93.91314285714287,72.28914285714286,77.61765714285714,-20.0,0,2016/04/08/sdnmlb-colmlb-1,632.529,13
86.10657142857143,82.3112,105.07017142857143,98.11122857142857,93.74514285714287,90.53108571428572,84.34757142857143,84.18714285714286,-20.0,1,2016/04/08/sdnmlb-colmlb-1,642.2607,6
103.84077142857143,97.78465714285713,113.16491428571429,108.35045714285715,100.79314285714287,96.80082857142858,117.03242857142858,98.71228571428571,85.65159999999999,0,2016/04/08/tbamlb-balmlb-1,644.90796,1
92.16285714285715,91.19514285714287,122.7944,114.71745714285713,107.23308571428572,91.21148571428571,107.73197142857143,91.05608571428571,75.66,1,2016/04/08/tbamlb-balmlb-1,571.40244,6
117.40657142857141,99.01257142857142,99.94142857142856,128.63457142857143,118.8699142857143,99.706,87.10820000000002,75.89,94.21982857142856,0,2016/04/08/bosmlb-tormlb-1,592.6913999999999,8
93.50354285714286,129.69417142857142,137.48617142857142,130.53905714285713,106.05657142857143,101.8968,96.27548571428572,69.71274285714286,67.66600000000001,1,2016/04/08/bosmlb-tormlb-1,614.907,7
107.2432,143.8944,98.5144,111.53651428571429,99.3844857142857,106.1542,94.70122857142857,82.85997142857143,-20.0,0,2016/04/08/pitmlb-cinmlb-1,646.2900000000001,6
80.53022857142857,97.4038,137.73851428571427,84.23291428571429,92.88465714285714,102.63028571428572,95.29014285714285,-20.0,76.92371428571428,1,2016/04/08/pitmlb-cinmlb-1,587.53152,5
112.9772,99.80954285714287,117.85614285714287,105.72068571428572,94.56285714285713,96.4124,94.49274285714284,99.68171428571428,-20.0,0,2016/04/08/slnmlb-atlmlb-1,646.092,7
89.18605714285714,83.29262857142857,132.64754285714287,95.08154285714285,93.6528,92.9806,75.29,71.42822857142856,-20.0,1,2016/04/08/slnmlb-atlmlb-1,591.642,4
110.72162857142857,118.918,125.0769142857143,102.5762,101.51891428571429,118.89971428571428,80.26565714285714,80.15882857142857,-20.0,0,2016/04/08/houmlb-milmlb-1,628.371,4
103.8488,91.15331428571429,116.84165714285713,104.0932,104.29771428571428,83.2156,83.80408571428572,-20.0,74.60874285714286,1,2016/04/08/houmlb-milmlb-1,626.787,6
88.13640000000002,80.11382857142857,106.00348571428572,123.77005714285713,94.6704,114.23422857142856,93.4372,74.0584,86.24285714285715,0,2016/04/08/minmlb-kcamlb-1,610.353,3
73.72262857142857,101.88348571428571,104.17462857142857,116.71862857142858,107.848,110.9354,95.61085714285716,71.34222857142856,85.46571428571428,1,2016/04/08/minmlb-kcamlb-1,641.637,4
113.12257142857143,115.43799999999999,113.181,147.44142857142856,128.55085714285715,100.53514285714287,88.08888571428572,58.71417142857143,-20.0,0,2016/04/08/chnmlb-arimlb-1,610.848,2
89.8080857142857,73.53091428571429,142.65651428571428,113.6528,88.39999999999998,96.91111428571428,86.76820000000002,-20.0,74.94234285714283,1,2016/04/08/chnmlb-arimlb-1,602.532,3
85.26754285714286,110.96374285714286,119.0694,111.82211428571428,94.65028571428572,83.88777142857144,96.86857142857143,85.3,87.91257142857144,0,2016/04/08/texmlb-anamlb-1,609.561,7
96.802,92.06014285714286,168.38157142857145,113.05691428571429,108.764,85.48942857142858,102.77151428571429,79.7504,77.71,1,2016/04/08/texmlb-anamlb-1,648.4679999999998,3
88.8477142857143,100.45428571428572,111.1556,123.29348571428572,146.30942857142858,110.58294285714287,106.10222857142857,86.97074285714285,-20.0,0,2016/04/08/lanmlb-sfnmlb-1,643.1220000000001,2
98.44400000000002,102.74051428571428,113.33725714285713,122.97354285714287,102.36045714285716,95.3478,86.97674285714285,62.880942857142855,-20.0,1,2016/04/08/lanmlb-sfnmlb-1,609.561,3
113.97457142857141,97.51314285714287,102.65157142857143,101.62571428571428,118.7788,103.72568571428572,91.11217142857143,87.56,83.37302857142856,0,2016/04/09/bosmlb-tormlb-1,664.06248,8
95.7614,130.0762,135.15508571428572,129.89919999999998,104.1034,80.26817142857142,69.2108,70.70748571428571,73.72,1,2016/04/09/bosmlb-tormlb-1,612.333,4
91.1264,100.15542857142857,104.24205714285715,112.69154285714286,102.00757142857144,104.10825714285716,102.69388571428571,91.4712857142857,81.49954285714284,0,2016/04/09/nyamlb-detmlb-1,671.8320000000001,8
100.13328571428572,116.663,145.36679999999996,117.05628571428574,113.9864,72.00491428571429,89.58919999999998,71.64328571428571,81.7174857142857,1,2016/04/09/nyamlb-detmlb-1,624.015,4
106.73597142857142,141.55700000000002,99.80202857142856,116.7696,97.67942857142856,104.38982857142857,91.58422857142858,84.60291428571428,-20.0,0,2016/04/09/pitmlb-cinmlb-1,582.62112,1
77.51571428571428,97.43148571428571,135.43382857142856,88.7918857142857,101.50537142857144,89.14485714285713,76.4992,77.58211428571428,-20.0,1,2016/04/09/pitmlb-cinmlb-1,578.376,5
81.86897142857143,99.92997142857142,96.62974285714287,109.48337142857142,120.88525714285713,94.61302857142859,88.26262857142858,87.94217142857143,80.49565714285714,0,2016/04/09/clemlb-chamlb-1,534.3949200000001,3
92.7196,78.42739999999998,124.23971428571429,104.29337142857142,102.69285714285715,92.77754285714285,91.52731428571428,91.28911428571428,78.96571428571427,1,2016/04/09/clemlb-chamlb-1,668.3670000000001,7
87.80342857142857,146.406,111.22694285714284,121.68191428571429,103.5644,94.68022857142857,86.47105714285713,62.8936,-20.0,0,2016/04/09/lanmlb-sfnmlb-1,582.7161600000001,3
96.14605714285715,86.74682857142858,138.20851428571427,113.4782857142857,100.09354285714285,120.48342857142859,75.82785714285713,-20.0,75.62777142857144,1,2016/04/09/lanmlb-sfnmlb-1,514.28868,2
108.976,116.25525714285715,126.47342857142857,94.17071428571428,124.36759999999998,103.05011428571429,100.07728571428572,78.52428571428571,-20.0,0,2016/04/09/houmlb-milmlb-1,652.5468000000002,6
103.84177142857143,94.12934285714287,119.43468571428572,103.34417142857143,107.9752,89.22751428571428,81.055,-20.0,85.18639999999998,1,2016/04/09/houmlb-milmlb-1,662.823,4
78.69794285714286,83.60742857142857,82.41717142857142,111.06108571428571,87.62405714285715,70.22359999999999,91.24514285714285,74.28342857142857,-20.0,0,2016/04/09/phimlb-nynmlb-1,616.2402,1
102.92542857142857,91.1492,104.1928,115.27222857142858,111.05474285714287,114.87845714285713,98.66937142857144,107.59182857142858,-20.0,1,2016/04/09/phimlb-nynmlb-1,574.515,0
111.26408571428571,86.45228571428572,119.08702857142859,106.16988571428571,101.8,94.1166,94.95114285714287,87.91114285714286,-20.0,0,2016/04/09/slnmlb-atlmlb-1,631.2420000000001,12
80.44,93.02617142857143,129.95474285714286,94.50885714285714,80.41834285714285,86.4992,70.80714285714286,77.44971428571428,-20.0,1,2016/04/09/slnmlb-atlmlb-1,585.9,2
91.88274285714287,77.08654285714286,106.75657142857143,92.25474285714287,111.6,116.83857142857143,93.95937142857143,85.76602857142856,77.33440000000002,0,2016/04/09/minmlb-kcamlb-1,624.51,0
74.14091428571429,104.71971428571429,101.71668571428572,115.27634285714286,106.46594285714286,111.1074857142857,97.79142857142857,71.50685714285713,75.66,1,2016/04/09/minmlb-kcamlb-1,645.3,7
115.6384,115.52751428571429,110.45145714285715,144.22502857142854,125.70057142857144,91.64102857142856,99.6268,88.2592,-20.0,0,2016/04/09/chnmlb-arimlb-1,600.21012,4
94.0054857142857,69.52485714285714,143.09485714285714,112.39171428571429,88.95805714285713,86.19405714285713,74.8002,-20.0,74.79505714285716,1,2016/04/09/chnmlb-arimlb-1,609.759,2
90.89097142857143,81.1366857142857,119.98611428571428,114.63997142857141,98.7452,91.94708571428572,72.12100000000001,84.76114285714286,-20.0,0,2016/04/09/sdnmlb-colmlb-1,609.8745,16
86.0684,88.95457142857144,105.7041142857143,100.17462857142858,88.4021142857143,97.162,85.04242857142857,67.29142857142857,-20.0,1,2016/04/09/sdnmlb-colmlb-1,581.2470000000001,3
87.11228571428572,98.9686,120.18834285714287,110.1828,93.96551428571428,83.579,85.68971428571429,79.47525714285712,89.4984,0,2016/04/09/texmlb-anamlb-1,595.63896,4
93.59948571428572,72.43531428571428,167.83602857142856,110.36274285714286,99.2768,110.7544,87.03320000000002,78.5526,92.64428571428572,1,2016/04/09/texmlb-anamlb-1,594.86412,1
113.63542857142856,100.29628571428572,103.22028571428572,130.601,118.47437142857143,100.73628571428571,97.44194285714286,83.97554285714286,91.84851428571429,0,2016/04/10/bosmlb-tormlb-1,666.9809999999999,0
93.30734285714287,131.3085142857143,141.30822857142857,128.6966857142857,103.18285714285715,101.92477142857142,94.74342857142857,67.49891428571429,70.16142857142857,1,2016/04/10/bosmlb-tormlb-1,657.675,3
76.68,84.77988571428571,81.9438,110.35648571428571,89.13834285714287,87.13788571428572,89.50085714285713,74.97042857142857,-20.0,0,2016/04/10/phimlb-nynmlb-1,586.692,5
101.7328,108.33228571428572,101.7784,114.26251428571429,108.4649142857143,112.19914285714285,92.7892,76.07,-20.0,1,2016/04/10/phimlb-nynmlb-1,610.88364,2
