"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","PA","playerid"
"Orlando Hudson","- - -",".243","1.43","19.9 %","47.1 %","33.0 %","7.4 %","4.4 %","283","1307"
"Tony Gwynn","Dodgers",".290","1.86","18.8 %","52.8 %","28.4 %","5.4 %","0.0 %","277","6141"
"Matt Treanor","Dodgers",".216","1.86","20.0 %","52.0 %","28.0 %","9.5 %","9.5 %","122","2265"
"Jeff Bianchi","Brewers",".185","1.61","17.5 %","50.9 %","31.6 %","5.6 %","16.7 %","76","9958"
"Drew Butera","Twins",".250","0.80","24.1 %","33.7 %","42.2 %","25.7 %","2.9 %","122","3411"
"Ronny Paulino","Orioles",".296","4.63","16.7 %","68.5 %","14.8 %","12.5 %","0.0 %","64","2129"
"Xavier Nady","- - -",".216","1.74","19.1 %","51.3 %","29.6 %","8.8 %","11.8 %","166","1658"
"Ivan De Jesus","- - -",".310","2.50","27.6 %","51.7 %","20.7 %","16.7 %","0.0 %","45","9886"
"Rob Johnson","Mets",".302","2.56","23.8 %","54.8 %","21.4 %","11.1 %","0.0 %","58","8029"
"Jesus Flores","Nationals",".247","1.09","18.2 %","42.7 %","39.1 %","11.6 %","7.0 %","296","4166"
"Alex Castellanos","Dodgers",".200","0.75","12.5 %","37.5 %","50.0 %","0.0 %","12.5 %","25","7223"
"Eduardo Escobar","- - -",".277","1.79","21.2 %","50.5 %","28.3 %","3.6 %","0.0 %","146","6153"
"Juan Uribe","Dodgers",".234","1.36","16.8 %","48.0 %","35.2 %","9.1 %","4.5 %","179","454"
"Adrian Cardenas","Cubs",".234","0.84","25.5 %","34.0 %","40.4 %","26.3 %","0.0 %","67","9514"
"Don Kelly","Tigers",".222","0.95","17.8 %","40.0 %","42.2 %","23.7 %","2.6 %","127","2216"
"Bryan Petersen","Marlins",".255","1.56","20.7 %","48.4 %","31.0 %","8.8 %","0.0 %","273","2567"
"Omar Vizquel","Blue Jays",".261","1.07","33.6 %","34.3 %","32.1 %","16.3 %","0.0 %","163","411"
"Steve Clevenger","Cubs",".245","2.28","24.8 %","52.2 %","22.9 %","2.8 %","2.8 %","215","9542"
"Chone Figgins","Mariners",".237","1.07","22.6 %","40.0 %","37.4 %","7.0 %","4.7 %","194","1580"
"Vinny Rottino","- - -",".143","1.40","20.0 %","46.7 %","33.3 %","6.7 %","20.0 %","71","5202"
"Anthony Recker","- - -",".182","0.87","17.6 %","38.2 %","44.1 %","20.0 %","6.7 %","58","4063"
"Taylor Teagarden","Orioles",".219","1.15","17.6 %","44.1 %","38.2 %","15.4 %","15.4 %","64","5199"
"Ryan Kalish","Red Sox",".310","2.17","16.2 %","57.4 %","26.5 %","16.7 %","0.0 %","103","6962"
"Jason Bay","Mets",".185","1.07","15.9 %","43.5 %","40.6 %","7.1 %","14.3 %","215","1717"
"Alberto Gonzalez","Rangers",".289","1.92","13.6 %","56.8 %","29.5 %","23.1 %","0.0 %","55","4906"
"Erik Komatsu","- - -",".234","1.92","23.9 %","50.0 %","26.1 %","25.0 %","0.0 %","58","8039"
"Matt Hague","Pirates",".286","1.80","25.0 %","48.2 %","26.8 %","13.3 %","0.0 %","74","7772"
"Kosuke Fukudome","White Sox",".206","2.11","17.6 %","55.9 %","26.5 %","0.0 %","0.0 %","51","3263"
"Cord Phelps","Indians",".273","0.64","21.7 %","30.4 %","47.8 %","9.1 %","9.1 %","34","8631"
"Steve Tolleson","Orioles",".212","1.47","11.3 %","52.8 %","35.8 %","0.0 %","10.5 %","76","4450"
"Brent Lillibridge","- - -",".286","1.29","23.0 %","43.4 %","33.6 %","12.2 %","7.3 %","209","3501"
"Jason Donald","Indians",".274","2.10","23.5 %","51.8 %","24.7 %","14.3 %","9.5 %","135","9331"
"Paul Janish","Braves",".226","1.02","24.6 %","38.1 %","37.3 %","22.0 %","0.0 %","186","7412"
"Carlos Peguero","Mariners",".308","1.09","17.9 %","42.9 %","39.3 %","18.2 %","18.2 %","57","8760"
"Ray Olmedo","White Sox",".313","2.43","20.0 %","56.7 %","23.3 %","0.0 %","0.0 %","42","1718"
"Brandon Barnes","Astros",".279","1.65","22.1 %","48.5 %","29.4 %","15.0 %","5.0 %","105","629"
"Matt McBride","Rockies",".233","0.53","21.0 %","27.4 %","51.6 %","9.4 %","6.3 %","81","9373"
"Thomas Neal","Indians",".294","2.00","29.4 %","47.1 %","23.5 %","0.0 %","0.0 %","24","9461"
"Fred Lewis","Mets",".200","12.00","20.0 %","80.0 %","0.0 %","0.0 %","0.0 %","25","4693"
"Endy Chavez","Orioles",".227","2.06","18.8 %","54.7 %","26.6 %","5.9 %","5.9 %","169","768"
"Jake Elmore","Diamondbacks",".210","1.83","13.6 %","55.9 %","30.5 %","5.6 %","0.0 %","73","7290"
"Emmanuel Burriss","Giants",".259","3.30","18.1 %","62.9 %","19.0 %","20.0 %","0.0 %","150","2917"
"Nick Green","Marlins",".235","0.67","11.8 %","35.3 %","52.9 %","22.2 %","0.0 %","24","1502"
"Henry Blanco","Diamondbacks",".244","0.57","21.7 %","28.3 %","50.0 %","21.7 %","4.3 %","67","81"
"Scott Van Slyke","Dodgers",".184","1.13","17.9 %","43.6 %","38.5 %","20.0 %","13.3 %","57","4365"
"Aaron Cunningham","Indians",".225","1.32","19.4 %","45.8 %","34.7 %","8.0 %","4.0 %","109","4087"
"Che-Hsuan Lin","Red Sox",".429","5.00","28.6 %","71.4 %","0.0 %","0.0 %","0.0 %","12","3734"
"Gil Velazquez","Marlins",".289","1.62","24.4 %","46.7 %","28.9 %","0.0 %","0.0 %","57","2070"
"Mike McCoy","Blue Jays",".178","1.47","14.0 %","51.2 %","34.9 %","13.3 %","6.7 %","56","4583"
"Matt Carson","Twins",".326","1.17","13.3 %","46.7 %","40.0 %","5.6 %","0.0 %","69","4748"
"Josh Bell","Diamondbacks",".216","1.82","16.2 %","54.1 %","29.7 %","18.2 %","9.1 %","56","2510"
"Mike Nickeas","Mets",".220","1.13","18.5 %","43.2 %","38.3 %","22.6 %","3.2 %","122","7419"
"Marlon Byrd","- - -",".257","2.00","25.7 %","49.6 %","24.8 %","10.7 %","3.6 %","153","950"
"Ryan Raburn","Tigers",".224","1.02","13.8 %","43.4 %","42.8 %","13.8 %","1.5 %","222","2218"
"Luke Carlin","Indians",".273","4.50","0.0 %","81.8 %","18.2 %","0.0 %","0.0 %","14","4666"
"Munenori Kawasaki","Mariners",".233","3.00","19.0 %","60.8 %","20.3 %","6.3 %","0.0 %","115","13047"
"Jimmy Paredes","Astros",".255","1.30","16.4 %","47.3 %","36.4 %","20.0 %","0.0 %","82","5481"
"Miguel Cairo","Reds",".208","0.96","15.4 %","41.5 %","43.1 %","14.3 %","1.8 %","156","1412"
"Steven Hill","Cardinals",".286","0.25","28.6 %","14.3 %","57.1 %","25.0 %","0.0 %","10","8211"
"Danny Valencia","- - -",".222","1.11","17.5 %","43.3 %","39.2 %","17.0 %","6.4 %","161","6364"
"Eric Sogard","Athletics",".181","1.11","26.3 %","38.8 %","35.0 %","14.3 %","7.1 %","108","7927"
"Brooks Conrad","- - -",".173","0.63","12.5 %","33.9 %","53.6 %","13.3 %","13.3 %","105","3664"
"Yamaico Navarro","Pirates",".189","0.94","10.8 %","43.2 %","45.9 %","17.6 %","5.9 %","56","5665"
"Wilson Valdez","Reds",".252","5.37","19.9 %","67.5 %","12.6 %","21.1 %","0.0 %","208","1863"
"Jerry Sands","Dodgers",".286","0.71","14.3 %","35.7 %","50.0 %","0.0 %","0.0 %","24","4016"
"Jason Bartlett","Padres",".193","1.33","10.9 %","50.9 %","38.2 %","0.0 %","0.0 %","98","8219"
"Mike Olt","Rangers",".227","1.25","18.2 %","45.5 %","36.4 %","0.0 %","0.0 %","40","10698"
"Ryan Lavarnway","Red Sox",".196","0.98","13.2 %","43.0 %","43.9 %","12.0 %","4.0 %","166","8879"
"Nick Hundley","Padres",".196","0.92","18.0 %","39.3 %","42.7 %","14.1 %","4.7 %","225","3376"
"Brett Hayes","Marlins",".354","0.86","18.8 %","37.5 %","43.8 %","21.4 %","0.0 %","118","4293"
"Clete Thomas","- - -",".273","0.43","16.7 %","25.0 %","58.3 %","28.6 %","14.3 %","29","3373"
"Michael Martinez","Phillies",".196","1.65","11.8 %","54.8 %","33.3 %","9.7 %","6.5 %","122","7358"
"Brandon Allen","- - -",".100","3.00","20.0 %","60.0 %","20.0 %","0.0 %","50.0 %","22","7436"
"Hideki Matsui","Rays",".169","1.14","15.1 %","45.2 %","39.7 %","3.4 %","6.9 %","103","1659"
"Scott Cousins","Marlins",".213","1.94","21.7 %","51.7 %","26.7 %","6.3 %","6.3 %","92","173"
"Brent Morel","White Sox",".270","1.59","23.0 %","47.3 %","29.7 %","9.1 %","0.0 %","125","6402"
"Hank Conger","Angels",".158","1.38","0.0 %","57.9 %","42.1 %","12.5 %","0.0 %","22","2505"
"Brian Roberts","Orioles",".214","1.14","16.1 %","44.6 %","39.3 %","18.2 %","0.0 %","74","166"
"Kole Calhoun","Angels",".235","1.40","29.4 %","41.2 %","29.4 %","0.0 %","0.0 %","25","11200"
"Eli Whiteside","Giants",".125","0.33","0.0 %","25.0 %","75.0 %","16.7 %","0.0 %","14","3536"
"Jose Iglesias","Red Sox",".137","2.31","15.7 %","58.8 %","25.5 %","30.8 %","7.7 %","77","10231"
"Jeff Clement","Pirates",".200","1.17","13.3 %","46.7 %","40.0 %","16.7 %","0.0 %","24","4652"
"Josh Vitters","Cubs",".154","1.46","11.9 %","52.2 %","35.8 %","8.3 %","8.3 %","109","4623"
"Chris Coghlan","Marlins",".146","2.74","13.4 %","63.4 %","23.2 %","5.3 %","5.3 %","105","6878"
"Matt Young","Tigers","1.000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","11","8989"
"Steven Lerud","Phillies",".250","7.00","12.5 %","87.5 %","0.0 %","0.0 %","0.0 %","10","113"
"J.C. Boscan","Braves",".222","2.00","25.0 %","50.0 %","25.0 %","50.0 %","0.0 %","10","2324"
"Willie Harris","Reds",".139","1.38","11.4 %","51.4 %","37.1 %","15.4 %","0.0 %","48","236"
"Jack Wilson","Braves",".200","0.74","16.1 %","35.7 %","48.2 %","22.2 %","0.0 %","77","1017"
"Koyie Hill","Cubs",".219","1.70","12.9 %","54.8 %","32.3 %","0.0 %","0.0 %","39","1829"
"Francisco Peguero","Giants",".333","3.50","0.0 %","77.8 %","22.2 %","50.0 %","0.0 %","16","5496"
"Justin Christian","Giants",".132","1.10","15.4 %","44.2 %","40.4 %","19.0 %","0.0 %","61","8297"
"Geoff Blum","Diamondbacks",".182","0.18","9.1 %","13.6 %","77.3 %","11.8 %","0.0 %","31","550"
"Sean Burroughs","Twins",".143","3.33","7.1 %","71.4 %","21.4 %","0.0 %","0.0 %","18","1021"
"Blake Lalli","Cubs",".167","2.67","8.3 %","66.7 %","25.0 %","33.3 %","0.0 %","16","9246"
"Conor Gillaspie","Giants",".167","1.40","33.3 %","38.9 %","27.8 %","0.0 %","0.0 %","20","9009"
"Michael Taylor","Athletics",".273","1.33","36.4 %","36.4 %","27.3 %","0.0 %","0.0 %","21","2591"
"Luis Exposito","Orioles",".077","3.00","7.7 %","69.2 %","23.1 %","0.0 %","0.0 %","22","4398"
"Ryan Jackson","Cardinals",".143","0.57","15.4 %","30.8 %","53.8 %","14.3 %","0.0 %","18","6596"
"Rich Thompson","Rays",".118","1.50","11.8 %","52.9 %","35.3 %","0.0 %","0.0 %","24","1883"
"Luis Martinez","Rangers",".143","2.25","7.1 %","64.3 %","28.6 %","25.0 %","0.0 %","19","2481"
"Blake DeWitt","Cubs",".143","1.78","10.7 %","57.1 %","32.1 %","11.1 %","0.0 %","30","7485"
"Carlos Maldonado","Nationals",".000","4.00","0.0 %","80.0 %","20.0 %","0.0 %","0.0 %","12","2034"
"Charlie Culberson","Giants",".200","3.33","13.3 %","66.7 %","20.0 %","0.0 %","0.0 %","23","3298"
"Blake Tekotte","Padres",".182","1.00","27.3 %","36.4 %","36.4 %","0.0 %","0.0 %","15","8810"
"Reid Brignac","Rays",".125","1.33","12.5 %","50.0 %","37.5 %","0.0 %","0.0 %","22","8380"
"Luke Hughes","- - -",".214","0.67","23.1 %","30.8 %","46.2 %","16.7 %","0.0 %","24","4898"
"Omir Santos","Tigers",".125","3.00","0.0 %","75.0 %","25.0 %","0.0 %","0.0 %","10","3583"
"Luis Jimenez","Mariners",".077","3.00","7.7 %","69.2 %","23.1 %","0.0 %","0.0 %","18","2602"
"Chris Herrmann","Twins",".077","4.50","15.4 %","69.2 %","15.4 %","0.0 %","0.0 %","19","9284"
"Jason Repko","Red Sox",".143","0.50","57.1 %","14.3 %","28.6 %","0.0 %","0.0 %","11","2628"
"Zach Lutz","Mets",".167","1.00","33.3 %","33.3 %","33.3 %","0.0 %","0.0 %","11","3735"
"Mike Costanzo","Reds",".100","1.00","20.0 %","40.0 %","40.0 %","0.0 %","0.0 %","21","3533"
"Stephen Vogt","Rays",".000","0.40","8.7 %","26.1 %","65.2 %","13.3 %","0.0 %","27","5000"
"Tsuyoshi Nishioka","Twins",".000","2.33","16.7 %","58.3 %","25.0 %","0.0 %","0.0 %","14","11531"
